account_id,name,category,category_id_maxweb,commissionplanname,commissionplantype,avg_ltv,avg_payout,epc_alltime,conversion_rate_alltime,refundrate_alltime,visitors_alltime,trending,negative_score,positive_score,flag_approved,auto_approve,company_website,product_image,codename,rr_record_id,cartproductname,resources_link,restrictions_link,manage_link
12531,South Beach Collagen Filler Serum Adv,Skin/Beauty and Anti-Aging,294,"0% Frontend, 0% Backend",backend,49.95,100,1,1,0,10,0.02,0,0,2,0,https://www.sf88trk.com/4RQSJ/2LS592/,https://cdn.softwareprojects.com/productimages/12531/3/collage_se_ks_iyu_p_g_resized160.png,south_beach_collagen_filler_serum_adv,3,South Beach Collagen Filler Serum Adv,,,
12530,DentaBiome,Dental/Gum Health,406,"0% Frontend, 0% Backend",backend,79,160,1,1,0,3438,6.88,0,0,2,0,https://getdentabiome.me/discovery,https://cdn.softwareprojects.com/productimages/12530/3/de_ahhwi6v_p_g_resized160.png,dentabiome,3,DentaBiome,https://affiliates-backoffice.maxweb.com/app#resources/12530/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12530/DentaBiome,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12530/DentaBiome
12529,GL Control,Diabetes,442,"0% Frontend, 0% Backend",backend,69,125,1,1,0,2464,4.93,0,0,2,0,https://secure.glcontrol.com/index-vsl-cf,https://cdn.softwareprojects.com/productimages/12529/3/glj3kqsq_p_g_resized160.png,gl_control,3,GL Control,https://affiliates-backoffice.maxweb.com/app#resources/12529/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12529/GL%20Control,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12529/GL%20Control
12525,Nervora,Nerve Health,398,"0% Frontend, 0% Backend",backend,69,200,1,1,0,860,1.72,0,0,2,0,https://nervescience.net/,https://cdn.softwareprojects.com/productimages/12525/3/_e_vo_a0ka_j_p_g_resized160.png,nervora,3,Nervora,,,
12523,Brain Memory Keeper,Brain Health/Memory,414,"0% Frontend, 0% Backend",backend,69,130,2.69,1.76,0,135,0.27,0,0,2,1,https://brainmemorykeeper.elasticpages.co/vsl,https://cdn.softwareprojects.com/productimages/12523/3/b_aimemo_yh0w_pc_p_g_resized160.png,brain_memory_keeper,3,Brain Memory Keeper,,,
12489,Flexigenics,Joint Supplement,462,"0% Frontend, 0% Backend",backend,69,115,3,2.6,0,909,1.82,0,0,2,0,https://theflexigenics.com/video.php,https://cdn.softwareprojects.com/productimages/12489/3/flexige_ics4s9g_s_p_g_resized160.png,flexigenics,3,Flexigenics,https://affiliates-backoffice.maxweb.com/app#resources/12489/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12489/Flexigenics,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12489/Flexigenics
12488,Make America Slim Again,Weight Loss,382,"0% Frontend, 0% Backend",backend,79,160,3,2,0,6014,12.03,0,0,2,0,https://makeamerica-slimagain.com/video.php,https://cdn.softwareprojects.com/productimages/12488/3/makeame_icagadaxu_p_g_resized160.png,make_america_slim_again,3,Make America Slim Again,https://affiliates-backoffice.maxweb.com/app#resources/12488/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12488/Make%20America%20Slim%20Again,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12488/Make%20America%20Slim%20Again
12467,CBD Sports Cream VSL,CBD,250,"0% Frontend, 0% Backend",backend,79,50,1,1,0,93,0.19,0,0,2,0,https://wellness-collections.com/lead-1/,https://cdn.softwareprojects.com/productimages/12467/3/cbd9lykvq_p_g_resized160.png,cbd_sports_cream_vsl,3,CBD Sports Cream VSL,https://affiliates-backoffice.maxweb.com/app#resources/12467/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12467/CBD%20Sports%20Cream%20VSL,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12467/CBD%20Sports%20Cream%20VSL
12455,RhythmONE VSL,Brain Health/Memory,414,"0% Frontend, 0% Backend",backend,69,130,1,1,0,4121,8.24,0,0,2,0,https://rhythmoneprotocol.com/go/indexvs.php,https://cdn.softwareprojects.com/productimages/12455/3/_hyih3do2_p_g_resized160.png,rhythmone_vsl,3,RhythmONE VSL,https://affiliates-backoffice.maxweb.com/app#resources/12455/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12455/RhythmONE%20VSL,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12455/RhythmONE%20VSL
12422,Gamma Game,Health Digital,246,"0% Frontend, 0% Backend",backend,39,0,0.17,2.3,0,120,0.24,0,0,2,0,https://gammagameoriginal.com/video/,https://cdn.softwareprojects.com/productimages/12422/3/comp_s4im93jy8o_p_g_resized160.png,gamma_game,3,Gamma Game,https://affiliates-backoffice.maxweb.com/app#resources/12422/campaigns,https://affiliates-backoffice.maxweb.com/app#offer-details/12422/Gamma%20Game,https://affiliates-backoffice.maxweb.com/app#sales-by-product/12422/Gamma%20Game
